grid,position,positionOrder,points,laps,milliseconds,fastestLap,fastestLapTime,fastestLapSpeed,name,nationality_y,avg_pitstop,longest_pitstop,shortest_pitstop,pitstops,driver_name,age
9,11,11,0.0,56,6707519,55,104.32300000000001,190.243,McLaren,British,27341.0,31987,24631,3,Fernando Alonso,42.0
11,12,12,0.0,56,6031144,36,102.226,191.962,McLaren,British,22900.5,22927,22874,2,Fernando Alonso,42.0
9,5,5,10.0,78,7254209,72,79.17,151.739,McLaren,British,26174.0,26836,25512,2,Fernando Alonso,42.0
22,7,7,6.0,44,6350503,43,114.48400000000001,220.243,McLaren,British,510342.5,998234,22451,2,Fernando Alonso,42.0
9,7,7,6.0,61,7038148,49,111.249,163.902,McLaren,British,28143.666666666668,30381,24649,3,Fernando Alonso,42.0
22,7,7,6.0,56,5897981,44,98.291,203.017,McLaren,British,24392.0,25195,23920,3,Fernando Alonso,42.0
12,5,5,10.0,56,5986571,36,103.50200000000001,191.752,McLaren,British,24491.5,25300,23683,2,Fernando Alonso,42.0
10,10,10,1.0,71,10905767,70,87.104,178.090,McLaren,British,1172476.0,2008789,24821,3,Fernando Alonso,42.0
9,10,10,1.0,55,5943909,50,104.495,191.343,McLaren,British,22338.0,22428,22248,2,Fernando Alonso,42.0
19,9,9,2.0,51,7495124,49,105.168,205.488,McLaren,British,449836.0,1313187,15104,3,Fernando Alonso,42.0
7,6,6,8.0,70,6057936,69,80.182,196.697,McLaren,British,22399.0,22399,22399,1,Fernando Alonso,42.0
6,8,8,4.0,71,5555625,57,73.451,211.193,McLaren,British,19328.75,23342,17716,4,Fernando Alonso,42.0
10,5,5,10.0,58,5401169,57,86.97800000000001,219.489,McLaren,British,22573.0,22573,22573,1,Fernando Alonso,42.0
13,7,7,6.0,56,5767019,56,97.23400000000001,201.818,McLaren,British,24110.0,24110,24110,1,Fernando Alonso,42.0
12,7,7,6.0,51,6235222,32,107.449,201.126,McLaren,British,39040.5,56710,21371,2,Fernando Alonso,42.0
13,8,8,4.0,52,5280899,52,93.482,226.862,McLaren,British,28377.0,28669,28085,2,Fernando Alonso,42.0
11,7,7,6.0,61,6774612,57,103.164,176.677,McLaren,British,29922.0,29922,29922,1,Fernando Alonso,42.0
4,6,6,8.0,58,5424563,49,89.883,212.396,McLaren,British,20950.333333333332,23303,16867,3,Jenson Button,44.0
4,2,2,18.0,56,5863093,50,101.26400000000001,197.057,McLaren,British,22451.333333333332,22483,22400,3,Jenson Button,44.0
2,4,4,12.0,56,5828226,39,100.62299999999999,195.021,McLaren,British,21924.666666666668,23779,20758,3,Jenson Button,44.0
6,6,6,8.0,58,5476989,47,91.167,210.786,McLaren,British,21808.0,22639,21368,3,Jenson Button,44.0
5,3,3,15.0,66,5978998,63,87.518,191.480,McLaren,British,20295.0,20763,20015,3,Jenson Button,44.0
2,3,3,15.0,78,7780751,78,76.463,157.252,McLaren,British,25457.0,26421,24670,3,Jenson Button,44.0
7,1,1,25.0,70,14679537,69,76.956,204.007,McLaren,British,23511.166666666668,31718,14501,6,Jenson Button,44.0
6,6,6,8.0,57,6036234,57,102.34,190.623,McLaren,British,20600.333333333332,20997,20325,3,Jenson Button,44.0
3,1,1,25.0,70,6402337,58,83.937,187.898,McLaren,British,20965.666666666668,21786,20046,3,Jenson Button,44.0
13,3,3,15.0,44,5214562,39,110.062,229.092,McLaren,British,23147.333333333332,26046,21640,3,Jenson Button,44.0
3,2,2,18.0,53,4855762,52,86.207,241.915,McLaren,British,21877.5,22095,21660,2,Jenson Button,44.0
3,2,2,18.0,61,7148494,54,108.45400000000001,168.392,McLaren,British,30131.666666666668,30305,29921,3,Jenson Button,44.0
2,1,1,25.0,53,5453427,52,96.568,216.481,McLaren,British,20935.0,21094,20713,3,Jenson Button,44.0
3,4,4,12.0,55,5896688,55,100.709,200.716,McLaren,British,20762.0,20766,20758,2,Jenson Button,44.0
4,2,2,18.0,60,5443435,60,87.967,209.737,McLaren,British,21465.0,21838,21092,2,Jenson Button,44.0
3,3,3,15.0,55,5857767,51,103.154,193.830,McLaren,British,20604.5,20908,20301,2,Jenson Button,44.0
3,3,3,15.0,71,5565102,63,75.58,205.244,McLaren,British,21542.0,22005,21038,3,Jenson Button,44.0
2,1,1,25.0,58,5649565,56,89.187,214.053,McLaren,British,23056.0,23275,22837,2,Jenson Button,44.0
2,14,14,0.0,56,9971531,50,102.1,195.443,McLaren,British,26746.0,36517,23477,5,Jenson Button,44.0
5,2,2,18.0,56,5807555,56,100.422,195.411,McLaren,British,22551.666666666668,26618,20474,3,Jenson Button,44.0
10,9,9,2.0,66,6034391,41,88.624,189.090,McLaren,British,20427.333333333332,21061,19888,3,Jenson Button,44.0
9,8,8,4.0,57,6281302,48,104.806,186.138,McLaren,British,19943.0,20246,19640,2,Jenson Button,44.0
16,10,10,1.0,52,5155732,52,96.086,220.714,McLaren,British,24950.0,25138,24762,2,Jenson Button,44.0
6,2,2,18.0,67,5472811,67,79.469,207.205,McLaren,British,17349.0,17867,16831,2,Jenson Button,44.0
4,6,6,8.0,69,6095746,58,85.831,183.751,McLaren,British,19615.333333333332,20355,19083,3,Jenson Button,44.0
1,1,1,25.0,44,5348530,40,114.293,220.611,McLaren,British,19668.0,19668,19668,1,Jenson Button,44.0
4,2,2,18.0,59,7235103,47,112.625,162.155,McLaren,British,29840.5,30019,29662,2,Jenson Button,44.0
8,4,4,12.0,53,5361340,51,96.606,216.396,McLaren,British,20666.0,21099,20233,2,Jenson Button,44.0
4,5,5,10.0,60,5497010,60,88.203,209.176,McLaren,British,21509.0,21509,21509,1,Jenson Button,44.0
5,4,4,12.0,55,6366454,50,104.533,191.273,McLaren,British,19455.0,19455,19455,1,Jenson Button,44.0
12,5,5,10.0,56,5811701,54,100.15,198.170,McLaren,British,21445.0,21445,21445,1,Jenson Button,44.0
2,1,1,25.0,71,6322656,37,78.108,198.601,McLaren,British,21503.0,21550,21456,2,Jenson Button,44.0
10,9,9,2.0,58,5484855,41,90.19800000000001,211.654,McLaren,British,22463.666666666668,23571,21538,3,Jenson Button,44.0
8,5,5,10.0,56,5822230,56,98.05799999999999,200.122,McLaren,British,19880.0,19898,19862,2,Jenson Button,44.0
10,10,10,1.0,57,5807129,49,97.743,199.330,McLaren,British,21978.25,23093,21230,4,Jenson Button,44.0
14,8,8,4.0,66,6036102,55,87.957,190.524,McLaren,British,19098.666666666668,19290,18810,3,Jenson Button,44.0
9,6,6,8.0,78,8295159,76,78.72,152.743,McLaren,British,24585.0,24585,24585,1,Jenson Button,44.0
10,13,13,0.0,52,5605425,39,96.356,220.096,McLaren,British,24551.0,24745,24357,2,Jenson Button,44.0
9,6,6,8.0,60,6102707,49,94.201,196.736,McLaren,British,20252.0,20812,19692,2,Jenson Button,44.0
13,7,7,6.0,70,6203264,56,86.195,182.975,McLaren,British,22301.5,22496,22107,2,Jenson Button,44.0
6,6,6,8.0,44,5062990,36,110.82300000000001,227.519,McLaren,British,22891.0,23317,22465,2,Jenson Button,44.0
9,10,10,1.0,53,4751679,46,87.83,237.445,McLaren,British,24450.0,24450,24450,1,Jenson Button,44.0
8,7,7,6.0,61,7236486,46,111.74000000000001,163.182,McLaren,British,29684.5,30085,29284,2,Jenson Button,44.0
11,8,8,4.0,55,6225963,45,103.07300000000001,196.113,McLaren,British,26447.0,26948,25946,2,Jenson Button,44.0
10,9,9,2.0,53,5290122,53,95.549,218.790,McLaren,British,24276.666666666668,26263,23105,3,Jenson Button,44.0
12,12,12,0.0,55,5989873,43,106.336,188.030,McLaren,British,24346.0,27176,21516,2,Jenson Button,44.0
15,10,10,1.0,56,6034426,50,101.285,195.950,McLaren,British,24589.0,24589,24589,1,Jenson Button,44.0
14,4,4,12.0,71,5593660,52,76.45,202.909,McLaren,British,23267.0,23788,22746,2,Jenson Button,44.0
10,3,3,15.0,57,5608737,39,92.917,205.460,McLaren,British,22405.0,22411,22399,2,Jenson Button,44.0
10,6,6,8.0,56,6109665,47,106.039,188.183,McLaren,British,24797.666666666668,25028,24524,3,Jenson Button,44.0
9,4,4,12.0,70,5964585,64,78.759,199.337,McLaren,British,24271.5,25050,23493,2,Jenson Button,44.0
11,11,11,0.0,71,5325942,60,72.858,213.752,McLaren,British,21373.5,21505,21242,2,Jenson Button,44.0
3,4,4,12.0,52,8859484,52,98.28399999999999,215.778,McLaren,British,28645.0,28645,28645,1,Jenson Button,44.0
11,8,8,4.0,67,5707625,64,81.346,202.424,McLaren,British,20247.0,22604,18916,3,Jenson Button,44.0
7,10,10,1.0,70,6852338,50,89.156,176.898,McLaren,British,23918.333333333332,26737,22211,3,Jenson Button,44.0
10,6,6,8.0,44,5131136,38,113.483,222.186,McLaren,British,22694.0,22800,22588,2,Jenson Button,44.0
6,8,8,4.0,53,4813299,35,89.245,233.680,McLaren,British,24669.0,24669,24669,1,Jenson Button,44.0
8,5,5,10.0,44,6770571,33,111.721,187.119,McLaren,British,303472.5,1136054,24532,4,Jenson Button,44.0
4,4,4,12.0,53,5540978,47,101.964,206.472,McLaren,British,29994.0,29994,29994,1,Jenson Button,44.0
5,4,4,12.0,71,5451213,68,73.999,209.629,McLaren,British,23007.0,23383,22620,3,Jenson Button,44.0
6,5,5,20.0,55,6002953,47,106.739,187.320,McLaren,British,22334.5,22627,22042,2,Jenson Button,44.0
10,8,8,4.0,78,6574483,76,79.49,151.128,McLaren,British,24861.5,25062,24661,2,Jenson Button,44.0
16,9,9,2.0,69,6437013,65,88.535,178.139,McLaren,British,19277.75,22231,16488,4,Jenson Button,44.0
13,9,9,2.0,53,5910491,53,103.068,204.261,McLaren,British,29719.0,29719,29719,1,Jenson Button,44.0
11,6,6,8.0,56,6680761,50,103.02600000000001,192.638,McLaren,British,25612.333333333332,27286,24689,3,Jenson Button,44.0
20,14,14,0.0,71,6204252,49,83.006,186.666,McLaren,British,23187.0,23356,23018,2,Jenson Button,44.0
12,13,13,0.0,56,6035881,46,100.298,195.652,McLaren,British,23203.666666666668,24072,22510,3,Jenson Button,44.0
19,11,11,0.0,51,5677183,50,107.622,200.802,McLaren,British,20412.5,20640,20185,2,Jenson Button,44.0
3,6,6,8.0,71,5295813,70,70.001,222.476,McLaren,British,20541.25,22859,18307,4,Jenson Button,44.0
9,9,9,2.0,56,5914592,51,98.74000000000001,202.094,McLaren,British,24691.5,24738,24645,2,Jenson Button,44.0
17,16,16,0.0,71,10943329,38,86.983,178.338,McLaren,British,713800.2,2010062,24192,5,Jenson Button,44.0
15,11,11,0.0,58,5486592,46,89.926,212.294,McLaren,British,22462.0,23677,21705,3,Sergio Pérez,34.0
9,9,9,2.0,56,6009038,56,99.199,201.159,McLaren,British,21295.25,21583,20894,4,Sergio Pérez,34.0
12,11,11,0.0,56,5850805,55,101.281,193.754,McLaren,British,20111.0,20253,19969,2,Sergio Pérez,34.0
12,6,6,8.0,57,5796496,41,97.913,198.984,McLaren,British,21317.0,21471,21161,3,Sergio Pérez,34.0
8,9,9,2.0,66,6038334,55,87.251,192.066,McLaren,British,19921.75,20578,19250,4,Sergio Pérez,34.0
13,8,8,4.0,60,6113017,50,96.134,192.780,McLaren,British,20432.5,20433,20432,2,Sergio Pérez,34.0
13,11,11,0.0,44,5104132,34,113.47200000000001,222.208,McLaren,British,19987.5,22597,17378,2,Sergio Pérez,34.0
8,12,12,0.0,53,4753117,44,87.607,238.049,McLaren,British,25933.0,25933,25933,1,Sergio Pérez,34.0
14,8,8,4.0,61,7236952,46,111.926,162.911,McLaren,British,29052.5,29396,28709,2,Sergio Pérez,34.0
10,10,10,1.0,55,6228856,47,102.973,196.303,McLaren,British,30897.0,38893,22901,2,Sergio Pérez,34.0
9,5,5,10.0,60,5516016,59,88.503,208.467,McLaren,British,24225.5,24910,23541,2,Sergio Pérez,34.0
8,9,9,2.0,55,5977304,51,105.435,189.637,McLaren,British,21436.5,21503,21370,2,Sergio Pérez,34.0
7,7,7,6.0,56,6003840,47,101.83,194.901,McLaren,British,23808.0,23808,23808,1,Sergio Pérez,34.0
19,6,6,8.0,71,5600351,50,76.246,203.451,McLaren,British,22494.0,22591,22397,2,Sergio Pérez,34.0
6,7,7,6.0,56,5589901,36,94.932,205.233,McLaren,British,24671.5,24688,24655,2,Daniel Ricciardo,34.0
6,6,6,8.0,63,7405818,54,79.34100000000001,222.739,McLaren,British,804583.5,1574827,34340,2,Daniel Ricciardo,34.0
16,9,9,2.0,66,5746790,64,81.987,204.310,McLaren,British,24319.666666666668,28639,21965,3,Daniel Ricciardo,34.0
7,6,6,8.0,66,5661448,60,81.85300000000001,205.612,McLaren,British,22084.0,22406,21762,2,Daniel Ricciardo,34.0
13,9,9,2.0,51,8025284,43,105.713,204.428,McLaren,British,683413.0,2015163,14994,3,Daniel Ricciardo,34.0
10,6,6,8.0,53,5321627,45,98.324,213.896,McLaren,British,29951.0,29951,29951,1,Daniel Ricciardo,34.0
13,7,7,6.0,71,5094938,56,68.82,225.876,McLaren,British,21151.0,21151,21151,1,Daniel Ricciardo,34.0
6,5,5,10.0,52,7145908,51,91.28399999999999,232.325,McLaren,British,1040049.0,2051281,28817,2,Daniel Ricciardo,34.0
2,1,1,26.0,53,4914365,53,84.812,245.894,McLaren,British,23812.0,23812,23812,1,Daniel Ricciardo,34.0
5,4,4,12.0,53,5506608,24,99.124,212.388,McLaren,British,32316.5,33617,31016,2,Daniel Ricciardo,34.0
6,5,5,10.0,56,5753406,43,100.345,197.785,McLaren,British,24106.0,24176,24036,2,Daniel Ricciardo,34.0
11,5,5,10.0,50,7615239,43,92.71600000000001,239.725,McLaren,British,1042162.5,1087296,997029,2,Daniel Ricciardo,34.0
18,14,14,0.0,57,5908559,50,97.261,200.318,McLaren,British,24979.666666666668,25139,24885,3,Daniel Ricciardo,34.0
7,6,6,8.0,58,5320285,54,82.451,230.449,McLaren,British,18150.0,18150,18150,1,Daniel Ricciardo,34.0
14,13,13,0.0,57,5705160,56,93.265,208.901,McLaren,British,19382.0,19484,19280,2,Daniel Ricciardo,34.0
14,13,13,0.0,64,7047900,59,77.532,154.945,McLaren,British,597364.5,1168673,26056,2,Daniel Ricciardo,34.0
12,8,8,4.0,51,5738148,44,108.27600000000001,199.589,McLaren,British,21794.0,21794,21794,1,Daniel Ricciardo,34.0
9,11,11,0.0,70,5824804,59,77.932,201.452,McLaren,British,26385.0,27937,24833,2,Daniel Ricciardo,34.0
14,13,13,0.0,52,8303128,34,92.644,228.914,McLaren,British,788380.0,3063314,29345,4,Daniel Ricciardo,34.0
9,9,9,2.0,53,5462484,27,99.13300000000001,212.151,McLaren,British,36264.0,36264,36264,1,Daniel Ricciardo,34.0
7,15,15,0.0,44,5260057,34,113.08,222.978,McLaren,British,23115.5,23146,23085,2,Daniel Ricciardo,34.0
17,17,17,0.0,72,5840537,52,75.577,202.871,McLaren,British,18723.8,20295,14493,5,Daniel Ricciardo,34.0
16,5,5,10.0,59,7393520,57,111.006,164.196,McLaren,British,30946.0,30946,30946,1,Daniel Ricciardo,34.0
11,11,11,0.0,28,10976881,11,107.843,193.848,McLaren,British,213563.0,401749,25377,2,Daniel Ricciardo,34.0
15,16,16,0.0,56,6222174,55,102.42,193.778,McLaren,British,25321.0,26206,24436,2,Daniel Ricciardo,34.0
13,9,9,2.0,58,5349182,45,90.785,209.413,McLaren,British,21893.0,21893,21893,1,Daniel Ricciardo,34.0
4,2,2,18.0,57,5605487,49,93.066,205.131,McLaren,British,22711.5,23150,22273,2,Kevin Magnussen,31.0
12,9,9,2.0,70,5982084,56,78.819,199.185,McLaren,British,23693.0,23907,23479,2,Kevin Magnussen,31.0
6,7,7,6.0,71,5307007,53,72.746,214.081,McLaren,British,21776.0,21882,21670,2,Kevin Magnussen,31.0
5,7,7,6.0,52,8874657,32,98.67699999999999,214.919,McLaren,British,28745.0,28745,28745,1,Kevin Magnussen,31.0
21,12,12,0.0,70,6863523,41,88.883,177.442,McLaren,British,22679.0,23546,21812,2,Kevin Magnussen,31.0
7,12,12,0.0,44,5150818,28,114.203,220.785,McLaren,British,22764.5,23115,22414,2,Kevin Magnussen,31.0
5,10,10,1.0,53,4816407,34,89.283,233.580,McLaren,British,24214.0,24214,24214,1,Kevin Magnussen,31.0
9,10,10,1.0,60,7267025,48,111.63900000000001,163.330,McLaren,British,28743.666666666668,28841,28684,3,Kevin Magnussen,31.0
11,5,5,10.0,53,5564360,44,103.076,204.245,McLaren,British,29736.0,29736,29736,1,Kevin Magnussen,31.0
7,8,8,4.0,56,6105467,29,104.287,190.309,McLaren,British,25689.0,26881,24497,2,Kevin Magnussen,31.0
7,9,9,2.0,71,5472640,62,74.544,208.097,McLaren,British,23794.0,24190,23061,3,Kevin Magnussen,31.0
9,11,11,0.0,55,6032995,37,106.824,187.171,McLaren,British,21855.0,22087,21623,2,Kevin Magnussen,31.0
9,7,7,6.0,51,5596768,43,105.807,204.247,McLaren,British,19755.0,19755,19755,1,Carlos Sainz,29.0
12,8,8,4.0,66,5782785,59,80.85900000000001,207.249,McLaren,British,21506.5,21545,21468,2,Carlos Sainz,29.0
9,6,6,8.0,78,6261891,32,75.891,158.295,McLaren,British,23795.0,23795,23795,1,Carlos Sainz,29.0
6,6,6,8.0,53,5166660,52,94.561,222.408,McLaren,British,29920.0,29920,29920,1,Carlos Sainz,29.0
13,6,6,8.0,52,4922091,50,89.757,236.277,McLaren,British,27980.0,27980,27980,1,Carlos Sainz,29.0
7,5,5,10.0,64,6280858,63,77.84100000000001,211.538,McLaren,British,21346.0,23363,19964,3,Carlos Sainz,29.0
7,12,12,0.0,61,7149641,41,105.969,172.001,McLaren,British,30623.0,30623,30623,2,Carlos Sainz,29.0
5,6,6,8.0,53,5664881,53,98.02000000000001,214.780,McLaren,British,30103.0,30103,30103,1,Carlos Sainz,29.0
7,5,5,10.0,52,4975856,46,93.563,223.434,McLaren,British,23476.0,23476,23476,1,Carlos Sainz,29.0
8,5,5,10.0,71,5464642,63,67.974,228.687,McLaren,British,21898.666666666668,23827,20064,3,Carlos Sainz,29.0
20,3,3,15.0,71,5603574,63,73.158,212.039,McLaren,British,22770.0,22770,22770,1,Carlos Sainz,29.0
7,13,13,0.0,52,5334653,47,89.94800000000001,235.776,McLaren,British,32382.5,36278,28487,2,Carlos Sainz,29.0
12,13,13,0.0,52,4856063,49,90.556,234.193,McLaren,British,32318.0,35864,28772,2,Carlos Sainz,29.0
3,2,2,18.0,53,6426471,40,83.882,248.620,McLaren,British,773383.5,1522369,24398,2,Carlos Sainz,29.0
10,5,5,10.0,60,5771546,53,90.129,205.625,McLaren,British,22572.0,22641,22503,2,Carlos Sainz,29.0
10,7,7,6.0,63,5332660,62,78.118,226.226,McLaren,British,30282.0,30614,29950,2,Carlos Sainz,29.0
15,5,5,10.0,58,6173676,56,98.75399999999999,194.592,McLaren,British,23723.5,23910,23537,2,Carlos Sainz,29.0
15,5,5,10.0,57,10799302,46,93.411,208.575,McLaren,British,402434.6666666667,1157291,24511,3,Carlos Sainz,29.0
8,4,4,12.0,87,5487694,80,57.165,223.122,McLaren,British,24507.5,24853,24162,2,Carlos Sainz,29.0
6,6,6,8.0,55,5854307,48,101.947,196.125,McLaren,British,22140.0,22140,22140,1,Carlos Sainz,29.0
18,12,12,0.0,51,7527733,45,106.648,202.636,McLaren,British,342788.75,1314189,15097,4,Stoffel Vandoorne,31.0
20,14,14,0.0,44,5139898,44,109.907,229.415,McLaren,British,26540.5,26894,26187,2,Stoffel Vandoorne,31.0
9,7,7,6.0,58,7433932,57,106.72200000000001,170.855,McLaren,British,29834.8,36138,24543,5,Stoffel Vandoorne,31.0
11,9,9,2.0,58,5408204,57,86.958,219.540,McLaren,British,22474.0,22474,22474,1,Stoffel Vandoorne,31.0
14,13,13,0.0,56,5785753,54,98.137,199.961,McLaren,British,23730.0,23730,23730,1,Stoffel Vandoorne,31.0
16,9,9,2.0,51,6238443,50,107.666,200.720,McLaren,British,20932.0,21103,20760,4,Stoffel Vandoorne,31.0
17,11,11,0.0,52,5285558,48,93.551,226.695,McLaren,British,28471.0,28658,28284,2,Stoffel Vandoorne,31.0
19,13,13,0.0,67,5596462,67,77.537,212.368,McLaren,British,19699.5,19778,19621,2,Stoffel Vandoorne,31.0
9,6,6,8.0,57,5707049,14,95.777,203.422,McLaren,British,24446.0,24717,24175,2,Lando Norris,24.0
7,8,8,4.0,51,5613210,43,105.394,205.047,McLaren,British,20949.5,22080,19819,2,Lando Norris,24.0
12,11,11,0.0,78,6275238,61,76.413,157.214,McLaren,British,25026.0,25026,25026,1,Lando Norris,24.0
8,11,11,0.0,52,4942733,50,89.636,236.596,McLaren,British,28097.0,28275,27919,2,Lando Norris,24.0
9,7,7,6.0,61,7128436,58,105.71600000000001,172.412,McLaren,British,30397.0,30397,30397,1,Lando Norris,24.0
7,8,8,4.0,53,5676741,52,98.301,214.166,McLaren,British,29290.0,29290,29290,1,Lando Norris,24.0
3,3,3,16.0,71,5461230,71,67.475,230.378,McLaren,British,21240.333333333332,23637,18163,3,Lando Norris,24.0
8,7,7,6.0,56,5726417,44,98.074,202.365,McLaren,British,25227.0,25776,24678,2,Lando Norris,24.0
10,8,8,4.0,71,5605882,63,72.328,214.472,McLaren,British,23368.0,23381,23355,2,Lando Norris,24.0
9,5,5,10.0,71,5032153,66,67.193,231.345,McLaren,British,22406.0,22406,22406,1,Lando Norris,24.0
5,5,5,10.0,52,5303560,41,90.05799999999999,235.488,McLaren,British,30289.0,30289,30289,1,Lando Norris,24.0
10,9,9,2.0,52,4847537,49,90.69800000000001,233.826,McLaren,British,28411.5,28874,27949,2,Lando Norris,24.0
10,7,7,6.0,44,5092535,39,108.55199999999999,232.279,McLaren,British,23046.0,23046,23046,1,Lando Norris,24.0
6,4,4,12.0,53,6432056,50,84.232,247.587,McLaren,British,773310.5,1522009,24612,2,Lando Norris,24.0
11,6,6,8.0,59,8393943,59,81.19800000000001,232.542,McLaren,British,561057.4,1445614,17845,5,Lando Norris,24.0
9,8,8,4.0,63,5333561,63,78.069,226.368,McLaren,British,29943.0,30203,29683,2,Lando Norris,24.0
14,8,8,5.0,58,6200572,58,96.806,198.508,McLaren,British,23185.0,23686,22684,2,Lando Norris,24.0
9,4,4,12.0,57,10798852,53,93.588,208.180,McLaren,British,401081.0,1153898,24666,3,Lando Norris,24.0
19,10,10,1.0,87,5494655,85,57.27,222.713,McLaren,British,24565.0,24885,24245,2,Lando Norris,24.0
4,5,5,10.0,55,5849374,53,101.964,196.092,McLaren,British,21840.0,21840,21840,1,Lando Norris,24.0
7,4,4,12.0,56,5570363,38,94.396,206.398,McLaren,British,25269.5,25640,24899,2,Lando Norris,24.0
7,3,3,15.0,63,7378300,63,78.259,225.819,McLaren,British,807803.5,1584953,30654,2,Lando Norris,24.0
7,5,5,10.0,66,5722790,55,81.696,205.038,McLaren,British,23636.666666666668,26952,21407,3,Lando Norris,24.0
5,3,3,15.0,78,5956247,76,74.67,160.883,McLaren,British,23874.0,23874,23874,1,Lando Norris,24.0
9,5,5,10.0,51,8021164,41,105.326,205.180,McLaren,British,682269.3333333334,2010409,15866,3,Lando Norris,24.0
8,5,5,10.0,53,5309802,52,97.425,215.870,McLaren,British,30531.0,30531,30531,1,Lando Norris,24.0
2,3,3,15.0,71,5054562,62,68.471,227.027,McLaren,British,26474.0,26474,26474,1,Lando Norris,24.0
5,4,4,12.0,52,7131857,44,91.42,231.979,McLaren,British,1041962.0,2052218,31706,2,Lando Norris,24.0
3,2,2,18.0,53,4916112,53,84.971,245.434,McLaren,British,24168.0,24168,24168,1,Lando Norris,24.0
1,7,7,7.0,53,5528225,39,97.423,216.096,McLaren,British,31247.0,32670,29824,2,Lando Norris,24.0
